entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.20000001600000086, 0.22222223222222331, 0.17777779977777833, 0.15555559355556148, 0.20000001600000086]","[0.22222218722221843, 0.22222223222222331, 0.17777779977777833, 0.19999993599999663, 0.22222218722221843]","[0.22222218722221843, 0.22222223222222331, 0.11111111611111166, 0.11111111611111166, 0.22222218722221843]","[0.22222223222222331, 0.22222223222222331, 0.22222218722221843, 0.22222218722221843, 0.22222223222222331]","[0.21052633246710553, 0.2222222272222221, 0.21052633246710553, 0.12280703086622702, 0.21052633246710553]","[[0.21052633246710553, 0.2222222272222221, 0.21052633246710553, 0.14619877537646137, 0.21052633246710553], [0.22222220472222265, 0.2222222272222221, 0.21052633246710553, 0.12280703086622702, 0.2222222047222226]]",123,"[0.22222220472222265, 0.2222222272222221, 0.11111111361111105, 0.11111111361111105, 0.2222222047222226]","[0.2222222272222221, 0.2222222272222221, 0.22222220472222265, 0.2222222047222226, 0.2222222272222221]","[0.21052633246710553, 0.3157894736842105, 0.21052633246710553, 0.2105262991118419, 0.21052633246710553]","[0.20000001600000086, 0.2999999639999981, 0.20000001600000086, 0.19999993599999663, 0.20000001600000086]","[0.22222220472222265, 0.2222222272222221, 0.21052633246710553, 0.14619877537646137, 0.2222222047222226]","[0.20000001600000086, 0.20000001600000086, 0.14999998199999906, 0.09999998799999937, 0.19999993599999663]","[0.21052633246710553, 0.21052633246710553, 0.15789473684210525, 0.10526315789473684, 0.2105262991118419]","[[0.20000001600000086, 0.22222223222222331, 0.17777779977777833, 0.19999993599999663, 0.20000001600000086], [0.22222218722221843, 0.22222223222222331, 0.17777779977777833, 0.15555559355556148, 0.22222218722221843]]"
"[0.22222223222222331, 0.22222223222222331, 0.22222218722221843, 0.07555560722222482, 0.2222222322222232]","[0.23999998666666678, 0.23999998666666678, 0.22222218722221843, 0.11111111611111166, 0.2222222322222232]","[0.23999998666666678, 0.23999998666666678, 0.12000002111111086, 0.039999997777777796, 0.15999996333333388]","[0.23999998666666678, 0.2400000422222217, 0.23999998666666678, 0.15999996333333388, 0.23999998666666678]","[0.22222223722222265, 0.22222223722222265, 0.22222216972222078, 0.07555561972222054, 0.22222223722222265]","[[0.22222223722222265, 0.22222223722222265, 0.22222216972222078, 0.11111111861111132, 0.22222223722222265], [0.23999998666666814, 0.23999998666666814, 0.22222216972222078, 0.07555561972222054, 0.22222223722222265]]",124,"[0.23999998666666814, 0.23999998666666814, 0.12000002111110873, 0.03999999777777802, 0.20000000277777746]","[0.23999998666666814, 0.24000004222221746, 0.23999998666666814, 0.20000000277777746, 0.23999998666666814]","[0.22222223722222265, 0.22222223722222265, 0.2222222147222221, 0.2222222147222221, 0.22222223722222265]","[0.22222223222222331, 0.22222223222222331, 0.22222218722221843, 0.2222221872222183, 0.22222223222222331]","[0.23999998666666814, 0.23999998666666814, 0.22222216972222078, 0.11111111861111132, 0.22222223722222265]","[0.22222218722221843, 0.22222223222222331, 0.11111111611111166, 0.11111111611111166, 0.2222221872222183]","[0.2222222147222221, 0.22222223722222265, 0.11111111861111132, 0.11111111861111132, 0.2222222147222221]","[[0.22222223222222331, 0.22222223222222331, 0.22222218722221843, 0.11111111611111166, 0.2222222322222232], [0.23999998666666678, 0.23999998666666678, 0.22222218722221843, 0.07555560722222482, 0.2222222322222232]]"
"[0.23076923826923063, 0.23076923826923054, 0.23076923826923063, 0.06334846528959262, 0.23076920576923135]","[0.2352941096470587, 0.2352941096470587, 0.2352941096470587, 0.07692307942307691, 0.23076920576923135]","[0.2352941096470587, 0.2352941096470587, 0.2352941096470587, 0.05882352741176468, 0.13235294517647067]","[0.26470589035294134, 0.2352941096470587, 0.2352941096470587, 0.13235294517647067, 0.2352941096470587]","[0.2307692382692307, 0.2307692382692307, 0.23076923826923057, 0.06334845906736941, 0.2307692057692311]","[[0.2307692382692307, 0.2307692382692307, 0.23076923826923057, 0.0769230794230769, 0.2307692057692311], [0.23529411172113318, 0.23529411172113318, 0.23529411172113318, 0.06334845906736941, 0.2307692057692311]]",125,"[0.23529411172113318, 0.23529411172113318, 0.23529411172113318, 0.058823527930283295, 0.13235294413943344]","[0.2647058882788669, 0.23529411172113318, 0.23529411172113318, 0.13235294413943344, 0.23529411172113318]","[0.2307692382692307, 0.2307692382692307, 0.2307692382692307, 0.2307692057692311, 0.2307692382692307]","[0.23076923826923063, 0.23076923826923054, 0.23076923826923063, 0.23076920576923135, 0.23076923826923054]","[0.23529411172113318, 0.23529411172113318, 0.23529411172113318, 0.0769230794230769, 0.2307692057692311]","[0.23076923826923063, 0.23076923826923054, 0.07692307942307684, 0.07692307942307687, 0.23076920576923135]","[0.2307692382692307, 0.2307692382692307, 0.0769230794230769, 0.0769230794230769, 0.2307692057692311]","[[0.23076923826923063, 0.23076923826923054, 0.23076923826923063, 0.07692307942307691, 0.23076920576923135], [0.2352941096470587, 0.2352941096470587, 0.2352941096470587, 0.06334846528959262, 0.23076920576923135]]"
"[0.22222222529914532, 0.22222222529914532, 0.11111111264957266, 0.22222221145299154, 0.22222222529914532]","[0.22222222529914532, 0.22222222529914532, 0.11111111264957266, 0.22222221145299154, 0.22222222529914532]","[0.22222221145299137, 0.22222222529914532, 0.11111111264957266, 0.11111110572649568, 0.22222221145299137]","[0.22222222529914532, 0.22222222529914532, 0.22222221145299137, 0.22222221145299137, 0.22222222529914532]","[0.22222223113974804, 0.22222221954180993, 0.2222222200057271, 0.11111110977090499, 0.22222221954180993]","[[0.22222223113974804, 0.22222221954180998, 0.2222222200057271, 0.11111110977090499, 0.22222221954180993], [0.22222223113974804, 0.22222221954180993, 0.2222222200057271, 0.11111110977090499, 0.22222221954180993]]",126,"[0.22222221985108798, 0.22222221954180993, 0.11111110977090496, 0.11111110992554399, 0.22222221954180993]","[0.22222223113974804, 0.22222221954180993, 0.22222221985108798, 0.22222221985108798, 0.22222221954180993]","[0.22222223113974804, 0.2666666638213056, 0.22222221954180998, 0.22222221954180998, 0.22222221954180998]","[0.22222222529914532, 0.2666666694638694, 0.22222221257187258, 0.22222221257187258, 0.22222222529914532]","[0.22222223113974804, 0.22222221954180993, 0.2222222200057271, 0.11111110977090499, 0.22222221954180993]","[0.22222221257187258, 0.22222222529914532, 0.06666666736596735, 0.11111110628593629, 0.22222221257187258]","[0.22222221954180998, 0.22222221954180998, 0.0666666659553264, 0.11111110977090499, 0.22222221954180998]","[[0.22222222529914532, 0.22222222529914532, 0.11111111264957266, 0.22222221145299154, 0.2222222252991453], [0.22222222529914532, 0.22222222529914532, 0.11111111264957266, 0.22222221145299154, 0.22222222529914532]]"
"[0.20000001600000156, 0.22222221422222127, 0.19999993599999388, 0.13333343933334457, 0.20000001600000156]","[0.22222221422222127, 0.22222221422222127, 0.19999993599999388, 0.17777781777778168, 0.22222219622221906]","[0.20000001600000156, 0.20000001600000156, 0.09999998799999883, 0.14999998199999826, 0.19999993599999388]","[0.20000001600000156, 0.2999999639999965, 0.19999993599999388, 0.20000001600000156, 0.20000001600000156]","[0.21052633246710545, 0.22222223222222223, 0.19883036600146153, 0.13450298233187186, 0.21052633246710545]","[[0.22222223222222223, 0.22222223222222223, 0.19883036600146153, 0.13450298233187186, 0.22222218722222212], [0.21052633246710545, 0.22222223222222223, 0.19883036600146153, 0.15789473684210528, 0.21052633246710545]]",127,"[0.21052633246710545, 0.21052633246710545, 0.10526315789473685, 0.15789473684210528, 0.2105262991118419]","[0.21052633246710545, 0.31578947368421056, 0.2105262991118419, 0.21052633246710545, 0.21052633246710545]","[0.22222223222222223, 0.22222223222222226, 0.22222223222222223, 0.22222218722222212, 0.22222223222222223]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221906, 0.22222221422222127]","[0.22222223222222223, 0.22222223222222223, 0.19883036600146153, 0.15789473684210528, 0.22222218722222212]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221906]","[0.22222223222222223, 0.22222223222222223, 0.11111111611111113, 0.11111111611111112, 0.22222218722222212]","[[0.22222221422222127, 0.22222221422222127, 0.19999993599999388, 0.13333343933334457, 0.22222219622221906], [0.20000001600000156, 0.22222221422222127, 0.19999993599999388, 0.17777781777778168, 0.20000001600000156]]"
"[0.23076924576923066, 0.16666671666666638, 0.1666666566666667, 0.07692308192307688, 0.23076922410256415]","[0.33333331333333344, 0.23076922410256415, 0.23076922410256415, 0.1025640892307694, 0.23076922410256415]","[0.2499999850000001, 0.16666665666666672, 0.08333335833333319, 0.08333332833333336, 0.1666666566666667]","[0.33333331333333344, 0.16666671666666638, 0.1666666566666667, 0.1666666566666667, 0.2499999850000001]","[0.2307692457692306, 0.16666670333333355, 0.16666666333333333, 0.07692308192307706, 0.23076922410256415]","[[0.2307692457692306, 0.23076922410256415, 0.23076922410256415, 0.07692308192307706, 0.23076922410256415], [0.33333332666666665, 0.16666670333333355, 0.16666666333333333, 0.08333333166666666, 0.24999997499999982]]",128,"[0.33333332666666665, 0.16666666333333333, 0.08333335166666678, 0.08333333166666666, 0.16666666333333333]","[0.33333332666666665, 0.16666670333333355, 0.16666666333333333, 0.16666666333333333, 0.33333332666666665]","[0.2307692457692306, 0.23076922410256415, 0.23076922410256415, 0.1538461638461538, 0.23076922410256415]","[0.23076924576923066, 0.23076922410256412, 0.23076922410256415, 0.15384615301282056, 0.23076922410256415]","[0.33333332666666665, 0.23076922410256415, 0.23076922410256415, 0.08333333166666666, 0.24999997499999982]","[0.23076922410256415, 0.23076922410256412, 0.23076922410256415, 0.07692308192307688, 0.15384615301282056]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.07692308192307687, 0.1538461638461538]","[[0.23076924576923066, 0.23076922410256415, 0.23076922410256415, 0.07692308192307688, 0.23076922410256415], [0.33333331333333344, 0.16666671666666638, 0.1666666566666667, 0.1025640892307694, 0.23076922410256415]]"
"[0.23076924576923066, 0.20000006000000484, 0.2000000600000048, 0.1076922460256362, 0.2000000600000048]","[0.29230757397434937, 0.23076922410256415, 0.23076922410256415, 0.1076922460256362, 0.2000000600000048]","[0.2000000600000048, 0.2000000600000048, 0.19999995999999678, 0.09999995499999641, 0.19999995999999678]","[0.2999998649999892, 0.20000006000000484, 0.2000000600000048, 0.19999995999999678, 0.2000000600000048]","[0.23076924576923066, 0.20000006000000542, 0.20000006000000542, 0.10769224602563565, 0.20000006000000542]","[[0.23076924576923066, 0.23076922410256415, 0.23076922410256415, 0.10769224602563565, 0.20000006000000542], [0.29230757397434803, 0.20000006000000542, 0.20000006000000542, 0.10769224602563565, 0.20000006000000542]]",129,"[0.20000006000000542, 0.20000006000000542, 0.19999995999999642, 0.09999995499999594, 0.19999995999999642]","[0.2999998649999878, 0.20000006000000542, 0.20000006000000542, 0.19999995999999642, 0.20000006000000542]","[0.23076924576923066, 0.23076922410256415, 0.23076922410256415, 0.1538461638461538, 0.23076922410256415]","[0.23076924576923066, 0.23076922410256415, 0.23076922410256412, 0.15384615301282056, 0.23076922410256415]","[0.29230757397434803, 0.23076922410256415, 0.23076922410256415, 0.10769224602563565, 0.20000006000000542]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256412, 0.07692308192307688, 0.15384615301282056]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.07692308192307688, 0.1538461638461538]","[[0.23076924576923066, 0.23076922410256415, 0.23076922410256415, 0.1076922460256362, 0.2000000600000048], [0.29230757397434937, 0.20000006000000484, 0.2000000600000048, 0.1076922460256362, 0.2000000600000048]]"
"[0.20000001111111076, 0.3076923001923074, 0.15384619884615558, 0.1323077075854701, 0.179487166987179]","[0.22666662638888785, 0.3076923001923074, 0.15999999777777785, 0.1323077075854701, 0.19999998333333385]","[0.179487166987179, 0.3076923001923074, 0.1538461500961537, 0.07692309942307779, 0.1538461500961537]","[0.3076923001923074, 0.3076923001923074, 0.15384619884615558, 0.179487166987179, 0.179487166987179]","[0.205128173386752, 0.30769230019230775, 0.1538461988461535, 0.1282051714636745, 0.1794871669871796]","[[0.205128173386752, 0.30769230019230775, 0.1538461988461535, 0.1282051714636745, 0.20512815611111224], [0.2307691625106847, 0.30769230019230775, 0.1538461988461535, 0.1282051714636745, 0.1794871669871796]]",130,"[0.1794871669871796, 0.30769230019230775, 0.15384615009615388, 0.07692309942307675, 0.15384615009615388]","[0.30769230019230775, 0.30769230019230775, 0.1538461988461535, 0.1794871669871796, 0.1794871669871796]","[0.205128173386752, 0.307692397692307, 0.20512815611111224, 0.20512815611111224, 0.205128173386752]","[0.20000001111111076, 0.3199999955555557, 0.19999998333333385, 0.19999998333333385, 0.20000001111111076]","[0.2307691625106847, 0.30769230019230775, 0.1538461988461535, 0.1282051714636745, 0.20512815611111224]","[0.19999998333333385, 0.20000001111111076, 0.15999999777777785, 0.07999999888888892, 0.19999998333333385]","[0.20512815611111224, 0.205128173386752, 0.1538461988461535, 0.07692309942307675, 0.20512815611111224]","[[0.20000001111111076, 0.3076923001923074, 0.15999999777777785, 0.1323077075854701, 0.19999998333333385], [0.22666662638888785, 0.3076923001923074, 0.15384619884615558, 0.1323077075854701, 0.179487166987179]]"
"[0.2000000250000014, 0.2000000250000014, 0.2000000250000014, 0.13846152846153614, 0.2000000250000014]","[0.23076921076923052, 0.2000000250000014, 0.2000000250000014, 0.19999989999999446, 0.23076921076923052]","[0.23076921076923052, 0.11538460538461526, 0.11538460538461526, 0.07692309192307711, 0.23076921076923052]","[0.23076921076923052, 0.23076921076923052, 0.23076927576923134, 0.23076921076923052, 0.23076921076923052]","[0.21428573928571376, 0.23076921967455552, 0.21428573928571376, 0.09340660169061965, 0.21428573928571376]","[[0.21428573928571376, 0.23076921967455552, 0.21428573928571376, 0.1263735624683031, 0.21428573928571376], [0.23076921967455552, 0.23076921967455552, 0.21428573928571376, 0.09340660169061965, 0.23076921967455552]]",131,"[0.23076921967455552, 0.1153846338757408, 0.11538460983727776, 0.07692307322485184, 0.23076921967455552]","[0.2307692677514816, 0.23076921967455552, 0.23076921967455552, 0.23076921967455552, 0.23076921967455552]","[0.21428573928571376, 0.285714225714287, 0.21428573928571376, 0.21428570428571447, 0.21428573928571376]","[0.2000000250000014, 0.31999993999999665, 0.2000000250000014, 0.19999989999999446, 0.2000000250000014]","[0.23076921967455552, 0.23076921967455552, 0.21428573928571376, 0.1263735624683031, 0.23076921967455552]","[0.2000000250000014, 0.2000000250000014, 0.15999996999999833, 0.07999998499999916, 0.19999989999999446]","[0.21428573928571376, 0.21428573928571376, 0.1428571128571435, 0.07142855642857175, 0.21428570428571447]","[[0.2000000250000014, 0.2000000250000014, 0.2000000250000014, 0.19999989999999446, 0.2000000250000014], [0.23076921076923052, 0.2000000250000014, 0.2000000250000014, 0.13846152846153614, 0.23076921076923052]]"
"[0.2307692241025639, 0.23076922410256392, 0.215384625384616, 0.09230771397436005, 0.2153846137179482]","[0.23076922410256395, 0.23076922410256392, 0.23076922410256392, 0.107692312692308, 0.2153846137179482]","[0.2307692241025639, 0.2307692241025639, 0.23076922410256392, 0.07692308192307708, 0.15384615301282042]","[0.23076922410256392, 0.2307692241025639, 0.23076924576923125, 0.15384615301282042, 0.23076922410256392]","[0.23076922410256423, 0.2307692241025642, 0.21538462538461536, 0.09230770230769203, 0.21538462538461536]","[[0.23076922410256423, 0.2307692241025642, 0.21538462538461536, 0.10769230102564084, 0.21538462538461536], [0.23076922410256423, 0.2307692241025642, 0.2307692241025642, 0.09230770230769203, 0.21538462538461536]]",132,"[0.23076922410256423, 0.2307692241025642, 0.2307692241025642, 0.07692308192307686, 0.1538461638461537]","[0.23076922410256423, 0.2307692241025642, 0.23076924576923058, 0.1538461638461537, 0.2307692241025642]","[0.23076922410256423, 0.23076924576923058, 0.21538462538461536, 0.2307692241025642, 0.2307692241025642]","[0.23076922410256395, 0.2307692457692311, 0.215384625384616, 0.23076922410256395, 0.23076922410256395]","[0.23076922410256423, 0.2307692241025642, 0.2307692241025642, 0.10769230102564084, 0.21538462538461536]","[0.23076922410256395, 0.23076922410256395, 0.07692308192307704, 0.107692312692308, 0.2153846137179482]","[0.2307692241025642, 0.2307692241025642, 0.07692308192307686, 0.10769230102564084, 0.21538462538461536]","[[0.23076922410256395, 0.23076922410256392, 0.215384625384616, 0.107692312692308, 0.2153846137179482], [0.2307692241025639, 0.23076922410256392, 0.23076922410256392, 0.09230771397436005, 0.2153846137179482]]"
"[0.222222228888889, 0.2000000160000005, 0.2000000160000005, 0.13333332733333303, 0.2000000160000005]","[0.26666662466666546, 0.222222228888889, 0.2000000160000005, 0.13333332733333303, 0.2222221988888885]","[0.2000000160000005, 0.2000000160000005, 0.14999998199999942, 0.09999998799999962, 0.199999935999998]","[0.29999996399999884, 0.2000000160000005, 0.2000000160000005, 0.199999935999998, 0.2000000160000005]","[0.22222222888888873, 0.21052633246710573, 0.21052633246710573, 0.12280701086622736, 0.21052633246710573]","[[0.22222222888888873, 0.22222222888888873, 0.21052633246710573, 0.12280701086622736, 0.22222219888888942], [0.24561399173245546, 0.21052633246710573, 0.21052633246710573, 0.12280701086622736, 0.21052633246710573]]",133,"[0.21052633246710573, 0.21052633246710573, 0.15789473684210525, 0.10526315789473684, 0.21052629911184165]","[0.3157894736842105, 0.21052633246710573, 0.21052633246710573, 0.21052629911184165, 0.21052633246710573]","[0.22222222888888873, 0.2777777861111109, 0.22222222888888873, 0.22222219888888942, 0.22222222888888873]","[0.222222228888889, 0.2777777861111113, 0.222222228888889, 0.2222221988888885, 0.222222228888889]","[0.24561399173245546, 0.22222222888888873, 0.21052633246710573, 0.12280701086622736, 0.22222219888888942]","[0.222222228888889, 0.222222228888889, 0.05555555722222226, 0.1111111144444445, 0.2222221988888885]","[0.22222222888888873, 0.22222222888888873, 0.055555557222222184, 0.11111111444444437, 0.22222219888888942]","[[0.222222228888889, 0.222222228888889, 0.2000000160000005, 0.13333332733333303, 0.2222221988888885], [0.26666662466666546, 0.2000000160000005, 0.2000000160000005, 0.13333332733333303, 0.2000000160000005]]"
