解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.3030302030302928, 0.21212125212121619, 0.21212125212121619, 0.21212119712121064, 0.21212125212121619]","[0.3333332333333429, 0.22222225022222564, 0.22222221422222124, 0.22222219622221923, 0.22222221422222121]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.222222177222224, 0.2222222222222222]","[0.20000003999999613, 0.20000003999999616, 0.11111112511111282, 0.06666664666666858, 0.20000003999999633]","[0.3333332333333429, 0.20000003999999613, 0.20000003999999616, 0.20000003999999633, 0.20000003999999613]","[0.3030302030302928, 0.2222222222222222, 0.2222222222222222, 0.222222177222224, 0.2222222222222222]","[0.22222221422222121, 0.22222225022222564, 0.22222221422222124, 0.22222219622221923, 0.22222221422222121]",23,"[0.21212125212121619, 0.21212125212121619, 0.1111111111111111, 0.06060604060605857, 0.21212119712121064]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.222222177222224]","[0.20000003999999613, 0.20000003999999613, 0.16666661666667146, 0.06666664666666858, 0.20000003999999613]","[0.21212125212121619, 0.21212125212121619, 0.1515151015151464, 0.06060604060605857, 0.21212119712121064]","[0.22222221422222121, 0.22222221422222121, 0.11111112511111282, 0.11111110711111061, 0.22222219622221923]"
"[0.2222222190740737, 0.22222224740740817, 0.2222222190740737, 0.2222222190740737, 0.2222222190740737]","[0.22222221422222216, 0.2222222502222224, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.2222222190740737, 0.22222224740740817, 0.2222222190740737, 0.2222222190740737, 0.22222221907407488]","[0.22222221422222216, 0.22222221422222216, 0.1111111251111112, 0.11111110711111108, 0.1111111251111112]","[0.22222221422222216, 0.2222222502222224, 0.22222221422222216, 0.22222221422222216, 0.22222221422222221]","[0.2222222190740737, 0.22222224740740817, 0.2222222190740737, 0.2222222190740737, 0.2222222190740737]","[0.22222221422222216, 0.2222222502222224, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]",24,"[0.2222222190740737, 0.2222222190740737, 0.11111112370370409, 0.11111110953703685, 0.11111112370370409]","[0.2222222190740737, 0.2222222190740737, 0.11111112370370409, 0.11111110953703685, 0.22222221907407488]","[0.22222221422222216, 0.22222221422222216, 0.22222221422222216, 0.11111110711111159, 0.1111111251111112]","[0.2222222190740737, 0.2222222190740737, 0.2222222190740737, 0.11111110953703685, 0.11111112370370409]","[0.22222221422222216, 0.22222221422222216, 0.1111111251111112, 0.11111110711111108, 0.22222221422222216]"
"[0.23076922413675222, 0.23076924569230764, 0.23076922413675222, 0.15384616379487176, 0.23076922413675222]","[0.26666665333333317, 0.2307692457692309, 0.2307692241025641, 0.19999999833333337, 0.23076922410256395]","[0.26666665340170975, 0.20000000663247844, 0.20000000663247844, 0.1999999983418804, 0.20000000663247844]","[0.2000000066666665, 0.1999999983333337, 0.19999999833333282, 0.07692308192307684, 0.15384616384615435]","[0.23076922410256437, 0.23076924576923047, 0.23076922410256445, 0.15384616384615413, 0.2307692241025639]","[0.26666665340170975, 0.23076924569230764, 0.23076922413675222, 0.1999999983418804, 0.23076922413675222]","[0.26666665333333306, 0.2000000066666665, 0.2000000066666666, 0.19999999833333348, 0.20000000666666728]",25,"[0.20000000663247844, 0.1999999983418804, 0.1999999983418804, 0.07692308189743588, 0.15384616379487176]","[0.20000000663247844, 0.1999999983418804, 0.1999999983418804, 0.13333332670085488, 0.1999999983418804]","[0.23076922410256345, 0.23076922410256434, 0.23076922410256437, 0.07692308192307667, 0.1538461638461542]","[0.23076922413675222, 0.23076922413675222, 0.23076922413675222, 0.07692308189743588, 0.15384616379487176]","[0.2000000066666665, 0.1999999983333337, 0.19999999833333282, 0.13333332666666653, 0.19999999833333357]"
"[0.21428570689285717, 0.2857143103571428, 0.21428570689285717, 0.21428570689285717, 0.21428570689285717]","[0.21428570428571464, 0.2857142957142854, 0.21428572178571406, 0.20000001000000012, 0.21428570428571464]","[0.20000001971428533, 0.2999999802857147, 0.20000001971428533, 0.20000001971428533, 0.20000001971428533]","[0.20000001000000012, 0.20000001000000003, 0.14285714785714265, 0.07142857392857135, 0.20000001000000012]","[0.21428570428571464, 0.2857142957142854, 0.21428572178571406, 0.20000001000000012, 0.21428570428571464]","[0.21428570689285717, 0.2999999802857147, 0.21428570689285717, 0.21428570689285717, 0.21428570689285717]","[0.20000001000000003, 0.2857142957142853, 0.20000001000000012, 0.20000001000000012, 0.20000001000000003]",26,"[0.20000001971428533, 0.20000001971428533, 0.1428571551785714, 0.07142856896428572, 0.20000001971428533]","[0.20000001971428533, 0.20000001971428533, 0.14999999014285734, 0.14999999014285734, 0.20000001971428533]","[0.21428570428571464, 0.21428570428571464, 0.14285714785714265, 0.07142857392857135, 0.20000001000000012]","[0.21428570689285717, 0.21428570689285717, 0.1428571551785714, 0.07142856896428572, 0.21428570689285717]","[0.20000001000000003, 0.20000001000000003, 0.14285714785714265, 0.14285714785714265, 0.20000001000000003]"
"[0.23076923929487175, 0.23076923929487175, 0.23076922082264967, 0.21153846935363224, 0.23076922082264967]","[0.23076923934065893, 0.2307692393406589, 0.2307692021978033, 0.2222222193650794, 0.2307692393406592]","[0.22222221890669527, 0.22222224874643798, 0.22222221890669527, 0.22222221890669527, 0.22222221890669527]","[0.22222221936507935, 0.2222222193650794, 0.11111112253968257, 0.07692307978021964, 0.21153846939560403]","[0.23076923934065893, 0.23076923934065893, 0.2307692021978033, 0.21153846939560403, 0.2307692393406592]","[0.23076923929487175, 0.23076923929487175, 0.23076922082264967, 0.22222221890669527, 0.23076922082264967]","[0.2222222193650794, 0.22222224507936514, 0.22222221936507916, 0.2222222193650794, 0.22222221936507935]",27,"[0.22222221890669527, 0.22222221890669527, 0.11111112437321899, 0.07692307976495726, 0.21153846935363224]","[0.22222221890669527, 0.22222221890669527, 0.11111112437321899, 0.11111110945334764, 0.22222221890669527]","[0.2307692021978033, 0.23076923934065893, 0.11538461967032947, 0.07692307978021964, 0.21153846939560403]","[0.23076922082264967, 0.23076922082264967, 0.11538461964743588, 0.07692307976495726, 0.21153846935363224]","[0.22222221936507935, 0.2222222193650794, 0.11111112253968257, 0.11111110968253958, 0.22222221936507935]"
"[0.22222222722222199, 0.22222222722222199, 0.22222220472222315, 0.22222220472222315, 0.22222222722222199]","[0.299999864999989, 0.2222222322222233, 0.22222218722221831, 0.2222221872222184, 0.22222223222222331]","[0.2999998649999954, 0.200000060000002, 0.200000060000002, 0.19999995999999867, 0.200000060000002]","[0.20000006000000492, 0.2000000600000049, 0.11111111611111164, 0.09999995499999632, 0.1999999599999967]","[0.22222223222222331, 0.2222222322222233, 0.22222218722221834, 0.22222218722221843, 0.22222223222222331]","[0.2999998649999954, 0.22222222722222199, 0.22222220472222315, 0.22222220472222315, 0.22222222722222199]","[0.299999864999989, 0.2000000600000049, 0.2000000600000049, 0.1999999599999967, 0.20000006000000492]",28,"[0.200000060000002, 0.200000060000002, 0.11111111361111099, 0.09999995499999847, 0.19999995999999867]","[0.200000060000002, 0.200000060000002, 0.19999995999999867, 0.09999995499999847, 0.19999995999999867]","[0.22222218722221834, 0.2222222322222233, 0.11111111611111164, 0.11111111611111166, 0.22222218722221843]","[0.22222220472222315, 0.22222222722222199, 0.11111111361111099, 0.11111111361111099, 0.22222220472222315]","[0.20000006000000492, 0.2000000600000049, 0.1999999599999967, 0.09999995499999632, 0.1999999599999967]"
"[0.23076922910256414, 0.3461537386538535, 0.23076922910256414, 0.11538461455128207, 0.23076922910256414]","[0.23076922434065972, 0.33333327333333174, 0.23076922434065936, 0.2307692243406596, 0.23076922434065936]","[0.23076922910256414, 0.23076925076923005, 0.23076922910256414, 0.23076922910256414, 0.23076922910256414]","[0.22222224222222278, 0.22222224222222287, 0.07692308406593394, 0.07692307478021991, 0.11111112111111139]","[0.22222224222222278, 0.33333327333333174, 0.22222224222222278, 0.11111112111111131, 0.22222224222222278]","[0.23076922910256414, 0.3461537386538535, 0.23076922910256414, 0.23076922910256414, 0.23076922910256414]","[0.23076922434065972, 0.2307692521978018, 0.23076922434065922, 0.2307692243406596, 0.23076922434065936]",29,"[0.23076922910256414, 0.23076922910256414, 0.07692308358974334, 0.0769230763675214, 0.11538461455128207]","[0.23076922910256414, 0.23076922910256414, 0.07692308358974334, 0.0769230763675214, 0.23076922910256414]","[0.22222224222222278, 0.22222224222222278, 0.16666663666666587, 0.11111109111111057, 0.11111112111111139]","[0.23076922910256414, 0.23076922910256414, 0.17307686932692676, 0.1153845795512845, 0.11538461455128207]","[0.23076922434065936, 0.2307692243406596, 0.07692308406593394, 0.07692307478021991, 0.23076922434065916]"
"[0.23076921963017674, 0.2307692678994108, 0.23076921963017674, 0.23076921963017674, 0.23076921963017674]","[0.2368420852631574, 0.26666664666666645, 0.23684208526315745, 0.21052625578947198, 0.23684208526315745]","[0.2000000193076916, 0.2999999806923084, 0.2000000193076916, 0.2000000193076916, 0.2000000193076916]","[0.20000001000000006, 0.1184210426315787, 0.10526319122807098, 0.07894736175438581, 0.20000001000000006]","[0.2368420852631574, 0.21052638245614197, 0.23684208526315745, 0.21052625578947198, 0.23684208526315745]","[0.23076921963017674, 0.2999999806923084, 0.23076921963017674, 0.23076921963017674, 0.23076921963017674]","[0.20000001000000006, 0.26666664666666645, 0.20000001000000006, 0.20000001000000006, 0.20000001000000006]",30,"[0.2000000193076916, 0.11538460981508837, 0.1153846339497054, 0.07692307321005891, 0.2000000193076916]","[0.2000000193076916, 0.2000000193076916, 0.1499999903461542, 0.1499999903461542, 0.2000000193076916]","[0.2368420852631574, 0.1184210426315787, 0.10526319122807098, 0.07894736175438581, 0.21052625578947198]","[0.23076921963017674, 0.11538460981508837, 0.1153846339497054, 0.07692307321005891, 0.23076921963017674]","[0.20000001000000006, 0.20000001000000006, 0.13333332333333323, 0.13333332333333323, 0.20000001000000006]"
"[0.22222223188034196, 0.22222223188034196, 0.22222223188034196, 0.2222221884188031, 0.22222223188034196]","[0.23076924576923072, 0.23076924576923075, 0.2307692132692308, 0.2222221872222195, 0.2307692132692308]","[0.23076924525641007, 0.2307692243304844, 0.2307692243304844, 0.15384616350427338, 0.2307692243304844]","[0.22222223222222293, 0.11111111611111145, 0.22222223222222318, 0.07692308192307691, 0.15384616384615366]","[0.2222222322222229, 0.2222222322222231, 0.22222223222222307, 0.2222221872222195, 0.22222223222222293]","[0.23076924525641007, 0.2307692243304844, 0.2307692243304844, 0.2222221884188031, 0.2307692243304844]","[0.23076924576923072, 0.23076924576923075, 0.2307692132692308, 0.15384616384615366, 0.2307692132692308]",31,"[0.22222223188034196, 0.11111111594017098, 0.22222223188034196, 0.07692308175213669, 0.15384616350427338]","[0.2307692243304844, 0.2307692243304844, 0.2307692243304844, 0.07692308175213669, 0.15384616350427338]","[0.2222222322222229, 0.11111111611111145, 0.22222223222222307, 0.11111111611111153, 0.2222221872222195]","[0.22222223188034196, 0.11111111594017098, 0.22222223188034196, 0.11111111594017098, 0.2222221884188031]","[0.23076924576923072, 0.2307692132692308, 0.2307692132692308, 0.07692308192307691, 0.15384616384615366]"
"[0.23076923825961565, 0.23076923825961565, 0.23076923825961565, 0.23076920580128116, 0.23076923825961565]","[0.2307692382692311, 0.24615388015384765, 0.2307692382692311, 0.23076920576922966, 0.23076920576922966]","[0.23076923825961565, 0.24615382817692222, 0.22820512870448745, 0.23076923825961565, 0.23076923825961565]","[0.23076920576922966, 0.2307692382692311, 0.06153847003846191, 0.07692307942307704, 0.22820514170512823]","[0.2307692382692311, 0.23076923826923118, 0.2307692382692311, 0.23076923826923107, 0.23076920576922966]","[0.23076923825961565, 0.24615382817692222, 0.23076923825961565, 0.23076923825961565, 0.23076923825961565]","[0.2307692382692311, 0.24615388015384765, 0.22820514170512823, 0.23076920576922966, 0.23076920576922966]",32,"[0.23076923825961565, 0.23076923825961565, 0.061538457044230555, 0.07692307941987189, 0.22820512870448745]","[0.23076923825961565, 0.23076923825961565, 0.061538457044230555, 0.08205126607179383, 0.22820512870448745]","[0.23076920576922966, 0.2307692382692311, 0.07692307942307704, 0.07692307942307704, 0.23076920576922966]","[0.23076923825961565, 0.23076923825961565, 0.07692307941987189, 0.07692307941987189, 0.2307692058012812]","[0.23076920576922966, 0.2307692382692311, 0.06153847003846191, 0.08205127255128267, 0.22820514170512823]"
"[0.22222224740740829, 0.22222221907407397, 0.22222221907407397, 0.22222221907407397, 0.22222221907407397]","[0.22222225022221898, 0.2222222142222241, 0.22222221422222244, 0.22222221422222244, 0.22222221422222244]","[0.22222224740740829, 0.22222221907407397, 0.22222221907407397, 0.22222221907407397, 0.22222221907407397]","[0.22222221422222244, 0.11111112511110949, 0.11111112511110949, 0.11111110711111205, 0.22222221422222244]","[0.22222225022221898, 0.2222222142222241, 0.2222222142222241, 0.22222221422222244, 0.22222221422222244]","[0.22222224740740829, 0.22222221907407397, 0.22222221907407397, 0.22222221907407397, 0.22222221907407397]","[0.22222225022221898, 0.2222222142222241, 0.22222221422222244, 0.22222221422222244, 0.22222221422222244]",33,"[0.22222221907407397, 0.11111112370370414, 0.11111112370370414, 0.11111110953703698, 0.22222221907407397]","[0.22222221907407397, 0.11111112370370414, 0.22222221907407397, 0.11111110953703698, 0.22222221907407397]","[0.2222222142222241, 0.2222222142222241, 0.11111112511110949, 0.11111110711111205, 0.22222221422222244]","[0.22222221907407397, 0.22222221907407397, 0.11111112370370414, 0.11111110953703698, 0.22222221907407397]","[0.22222221422222244, 0.11111112511110949, 0.22222221422222244, 0.11111110711111205, 0.22222221422222244]"
"[0.22222220358506978, 0.2222222371319442, 0.2222222371319442, 0.1851851976099535, 0.22222220358506978]","[0.22222220347222116, 0.299999976666666, 0.22222223722222303, 0.20000000666666684, 0.22222220347222116]","[0.20000003975925887, 0.3500000447291662, 0.19999994036111174, 0.19999994036111174, 0.20000003975925887]","[0.18518519768518588, 0.20000000666666684, 0.149999988333333, 0.11111111861111152, 0.10000000333333342]","[0.22222220347222116, 0.22222223722222303, 0.22222223722222303, 0.18518519768518585, 0.22222220347222116]","[0.22222220358506978, 0.3500000447291662, 0.2222222371319442, 0.19999994036111174, 0.22222220358506978]","[0.20000000666666684, 0.299999976666666, 0.20000000666666684, 0.20000000666666684, 0.20000000666666684]",34,"[0.1851851976099535, 0.20000003975925887, 0.1750000223645831, 0.1111111185659721, 0.09999997018055587]","[0.19999994036111174, 0.20000003975925887, 0.1750000223645831, 0.1750000223645831, 0.09999997018055587]","[0.18518519768518585, 0.22222220347222116, 0.22222220347222116, 0.11111111861111152, 0.18518519768518585]","[0.1851851976099535, 0.22222220358506978, 0.22222220358506978, 0.1111111185659721, 0.1851851976099535]","[0.20000000666666684, 0.20000000666666684, 0.149999988333333, 0.149999988333333, 0.10000000333333342]"
"[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222221936507966, 0.22222223222222215, 0.22222221936507958, 0.22222222579365106, 0.2222222193650788]","[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222221936507847, 0.2222222257936512, 0.11111111611111119, 0.11111110968253979, 0.2222222193650788]","[0.222222225793652, 0.22222222579365072, 0.22222221936507944, 0.22222222579365106, 0.22222221936507866]","[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222221936507958, 0.22222223222222215, 0.2222222193650797, 0.22222222579365125, 0.2222222193650788]",35,"[0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.1111111111111111, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.1111111111111111, 0.2222222222222222]","[0.2222222193650796, 0.22222221615079157, 0.11111111289682525, 0.11111110968253979, 0.22222221936507866]","[0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.1111111111111111, 0.2222222222222222]","[0.22222221936507847, 0.2222222257936512, 0.11111111611111119, 0.11111110968253979, 0.2222222193650788]"
"[0.2711864104237304, 0.2711864104237304, 0.1525423930508464, 0.1525423930508464, 0.2711864104237304]","[0.2631578847368415, 0.2631578847368423, 0.2222221872222187, 0.22222218722221856, 0.2631578847368415]","[0.22222223230696778, 0.22222223230696778, 0.22222223230696772, 0.22222218692561288, 0.22222223230696778]","[0.2222221872222187, 0.2222222322222231, 0.11111111611111175, 0.05263158644736856, 0.1578947593421055]","[0.26315788473684243, 0.263157884736842, 0.15789475934210567, 0.15789475934210553, 0.2631578847368415]","[0.2711864104237304, 0.2711864104237304, 0.22222223230696772, 0.22222218692561288, 0.2711864104237304]","[0.2222222322222231, 0.2222222322222235, 0.2222221872222187, 0.22222218722221856, 0.2222222322222231]",36,"[0.22222223230696772, 0.22222223230696778, 0.11111111615348389, 0.05084746435028214, 0.1525423930508464]","[0.22222223230696772, 0.22222223230696778, 0.11111111615348389, 0.11111111615348389, 0.22222218692561288]","[0.26315788473684243, 0.2631578847368415, 0.131578942368421, 0.05263158644736856, 0.15789475934210553]","[0.2711864104237304, 0.2711864104237304, 0.1355932052118652, 0.05084746435028214, 0.1525423930508464]","[0.2222221872222187, 0.2222222322222231, 0.11111111611111175, 0.11111111611111169, 0.22222218722221854]"
